IDCC;Operateur de competences;Libelle;obs
3;OPCO Mobilite;Convention collective nationale des ouvriers de la navigation interieure de marchandises;
16;OPCO Mobilite;Convention collective nationale des transports routiers et activites auxiliaires du transport;
18;OPCO 2i;Convention collective nationale des industries textiles;
29;OPCO Sante;Convention collective nationale des etablissements prives d'hospitalisation, de soins, de cure et de garde e but non lucratif (FEHAP, convention de 1951);
43;OPCO Commerce;Convention collective nationale des entreprises de commerce et de commission importation exportation;
44;OPCO 2i;Convention collective nationale des industries chimiques et connexes;
45;OPCO 2i;Convention collective nationale du caoutchouc;
83;OPCO 2i;Convention collective nationale des menuiseries charpentes et constructions industrialisees et des portes planes;
86;AFDAS;Convention collective nationale des entreprises de publicite et assimilees;
87;OPCO 2i;Convention collective nationale des ouvriers des industries de carrieres et de materiaux;
112;OCAPIAT;Convention collective nationale de l'industrie laitiere;
135;OPCO 2i;Convention collective nationale des employes techniciens et agents de maetrise des industries de carrieres et de materiaux;
158;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale du travail mecanique du bois, des scieries, du negoce et de l'importation des bois;
176;OPCO 2i;Convention collective nationale de l'industrie pharmaceutique;
184;OPCO entreprises de proximite;Convention collective nationale de l'imprimerie de labeur et des industries graphiques;
200;OCAPIAT;Convention collective nationale des exploitations frigorifiques;
207;OPCO 2i;Convention collective nationale de l'industrie des cuirs et peaux;
211;OPCO 2i;Convention collective nationale des cadres des industries de carrieres et materiaux (UNICEM);
214;AFDAS;Convention collective des ouvriers des entreprises de presse de la region parisienne;
218;OPCO Cohesion sociale;Convention collective nationale des organismes de securite sociale;
240;OPCO entreprises de proximite;Convention collective nationale du personnel des greffes des tribunaux de commerce;
247;OPCO 2i;Convention collective nationale des industries de l'habillement;
275;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale du personnel au sol des entreprises de transport aerien;
292;OPCO 2i;Convention collective nationale de la plasturgie (transformation des matieres plastiques);
303;OPCO 2i;Convention collective regionale de la couture parisienne;
306;AFDAS;Convention collective des cadres techniques de la presse quotidienne parisienne;
363;OPCO 2i;Convention collective nationale du personnel ingenieurs et cadres de l'industrie de la fabrication des ciments;
394;AFDAS;Convention collective des employes de la presse quotidienne parisienne;
405;OPCO Sante;Convention collective nationale des etablissements medico-sociaux de l'union intersyndicale des secteurs sanitaires et sociaux (UNISSS, FFESCPE, convention de 1965, enfants, adolescents);
412;OPCO Mobilite;Convention collective nationale de travail des guides accompagnateurs et accompagnateurs au service des agences de voyages et de tourisme;
413;OPCO Sante;Convention collective nationale de travail des etablissements et services pour personnes inadaptees et handicapees (convention de 1966, SNAPEI);
438;OPCO ATLAS;Convention collective nationale de travail des echelons intermediaires des services exterieurs de production des societes d'assurances;
454;OPCO entreprises de proximite;Convention collective nationale des remontees mecaniques et domaines skiables;
468;OPCO Commerce;Convention collective du commerce succursaliste de la chaussure;
478;OPCO ATLAS;Convention collective nationale des societes financieres;
489;OPCO 2i;Convention collective du personnel des industries du cartonnage;
493;OCAPIAT;Convention collective nationale des vins, cidres, jus de fruits, sirops, spiritueux et liqueurs de France;
500;OPCO Commerce;Convention collective nationale des commerces de gros de l'habillement, de la mercerie, de la chaussure et du jouet;
509;AFDAS;Convention collective des cadres administratifs de la presse quotidienne parisienne;
538;OPCO Mobilite;Convention collective nationale du personnel des entreprises de manutention ferroviaire et travaux connexes;
567;OPCO 2i;Convention collective nationale de la bijouterie, joaillerie, orfevrerie et des activites qui s'y rattachent;
573;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des commerces de gros;
598;AFDAS;Convention collective nationale de travail des ouvriers de la presse quotidienne regionale;
614;OPCO entreprises de proximite;Convention collective nationale des industries de la serigraphie et des procedes d'impression numerique connexes;
635;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale du negoce en fournitures dentaires;
637;OPCO 2i;Convention collective des industries et du commerce de la recuperation (recyclage, regions Nord-Pas-de-Calais, Picardie);
653;OPCO ATLAS;Convention collective de travail des producteurs salaries de base des services exterieurs de production des societes d'assurances;
669;OPCO 2i;Convention collective nationale des industries de fabrication mecanique du verre;
675;OPCO Commerce;Convention collective nationale des maisons e succursales de vente au detail d'habillement;
693;AFDAS;Convention collective de travail des employes de la presse quotidienne departementale;
698;AFDAS;Convention collective de travail des employes de la presse quotidienne regionale;
700;OPCO 2i;Convention collective nationale des ingenieurs et cadres de la production des papiers, cartons et celluloses;
706;OPCO Commerce;Convention collective nationale du personnel de la reprographie;
707;OPCO 2i;Convention collective nationale des ingenieurs et cadres de la transformation des papiers cartons et de la pellicule cellulosique;
715;OPCO 2i;Convention collective nationale des instruments e ecrire et des industries connexes;
716;AFDAS;Convention collective nationale des employes et ouvriers de la distribution cinematographique;
731;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des commerces de quincaillerie, fournitures industrielles, fers, metaux et equipement de la maison, cadres;
733;OPCO entreprises de proximite;Convention collective nationale des detaillants en chaussure;
759;OPCO entreprises de proximite;Convention collective nationale des pompes funebres;
779;OPCO Mobilite;Convention collective de travail du personnel des voies ferrees d'interet local;
781;AFDAS;Convention collective des cadres administratifs de la presse quotidienne departementale;
783;OPCO Sante;Convention collective des centres d'hebergement et de readaptation sociale et dans les services d'accueil, d'orientation et d'insertion pour adultes (CHRS, SOP);
787;OPCO ATLAS;Convention collective nationale des cabinets d'experts-comptables et de commissaires aux comptes;
802;OPCO 2i;Convention collective nationale de la distribution de papiers-cartons commerces de gros pour les ouvriers, employes, techniciens et agents de maetrise;
832;OPCO 2i;Convention collective nationale du personnel ouvrier de l'industrie de la fabrication des ciments;
833;OPCO 2i;Convention collective nationale du personnel employes, techniciens, dessinateurs et agents de maetrise de l'industrie de la fabrication des ciments;
843;OPCO entreprises de proximite;Convention collective nationale de la boulangerie-petisserie -entreprises artisanales-;
892;AFDAS;Convention collective nationale des cadres et agents de maetrise de la distribution de films de l'industrie cinematographique;
897;OPCO Sante;Convention collective nationale des services de sante au travail interentreprises;
915;OPCO entreprises de proximite;Convention collective nationale des societes d'expertises et d'evaluations;
925;OPCO 2i;Convention collective nationale des ingenieurs et cadres de la distribution des papiers et cartons, commerce de gros;
953;OPCO entreprises de proximite;Convention collective nationale de la charcuterie de detail;
959;OPCO entreprises de proximite;Convention collective nationale des laboratoires de biologie medicale extra-hospitaliers;
992;OPCO entreprises de proximite;Convention collective nationale de la boucherie, boucherie-charcuterie et boucherie hippophagique, triperie, commerce de volailles et gibiers;
993;OPCO entreprises de proximite;Convention collective nationale des prothesistes dentaires et des personnels des laboratoires de prothese dentaire;
998;OPCO 2i;Convention collective nationale des ouvriers, employes, techniciens et agents de maetrise de l'exploitation d'equipements thermiques et de genie climatique;
1000;OPCO entreprises de proximite;Convention collective nationale du personnel des cabinets d'avocats;
1001;OPCO Sante;Convention collective nationale des medecins specialistes qualifies au regard du conseil de l'ordre travaillant dans des etablissements et services pour personnes inadaptees et handicapees;
1016;AFDAS;Convention collective des cadres et agents de maetrise de l'edition de musique;
1018;AFDAS;Convention collective des cadres techniques de la presse quotidienne departementale franeaise;
1031;OPCO Cohesion sociale;Convention collective nationale de la federation nationale des associations familiales rurales (FNAFR);
1043;OPCO entreprises de proximite;Convention collective nationale des gardiens, concierges et employes d'immeubles;
1044;OPCO 2i;Convention collective nationale de l'horlogerie;
1077;OCAPIAT;Convention collective nationale entreprises du negoce et de l'industrie des produits du sol, engrais et produits connexes;
1083;AFDAS;Convention collective de travail des ouvriers de la presse quotidienne departementale;
1090;OPCO Mobilite;Convention collective nationale des services de l'automobile (commerce et reparation de l'automobile, du cycle et du motocycle, activites connexes, contrele technique automobile, formation des conducteurs auto-ecoles CNPA);
1147;OPCO entreprises de proximite;Convention collective du personnel des cabinets medicaux (medecin);
1170;OPCO 2i;Convention collective nationale de l'industrie des tuiles et briques (CCNTB);
1182;OPCO Mobilite;Convention collective nationale des personnels des ports de plaisance;
1194;AFDAS;Convention collective nationale des employes de l'edition de musique;
1256;OPCO 2i;Convention collective nationale des cadres, ingenieurs et assimiles des entreprises de gestion d'equipements thermiques et de climatisation;
1261;OPCO Cohesion sociale;Convention collective nationale des acteurs du lien social et familial : centres sociaux et socioculturels, associations d'accueil de jeunes enfants, associations de developpement social local (SNAECSO);
1266;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale du personnel des entreprises de restauration de collectivites;
1267;OPCO entreprises de proximite;Convention collective nationale de la petisserie;
1278;OPCO Cohesion sociale;Convention collective nationale des personnels PACT et ARIM (centres pour la protection l'amelioration et la conservation de l'habitat et associations pour la restauration immobiliere);
1281;AFDAS;Convention collective des employes de la presse hebdomadaire regionale;
1285;AFDAS;Convention collective nationale pour les entreprises artistiques et culturelles (SYNDEAC);
1286;OPCO entreprises de proximite;Convention collective nationale des detaillants, detaillants-fabricants et artisans de la confiserie, chocolaterie, biscuiterie;
1307;AFDAS;Convention collective nationale de l'exploitation cinematographique;
1311;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale de la restauration ferroviaire;
1314;OPCO Commerce;"Convention collective nationale des maisons d'alimentation e succursales, supermarches, hypermarches, ""gerants mandataires"" (grande distribution)";
1316;OPCO Cohesion sociale;Convention collective nationale des organismes de tourisme social et familial;
1351;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des entreprises de prevention et de securite;
1383;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des commerces de quincaillerie, fournitures industrielles, fers, metaux et equipement de la maison, employes et personnels de maetrise;
1388;OPCO 2i;Convention collective nationale de l'industrie du petrole;
1391;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective regionale concernant le personnel de l'industrie, de la manutention et du nettoyage sur les aeroports ouverts e la circulation publique de la region parisienne;
1396;OCAPIAT;Convention collective nationale pour les industries de produits alimentaires elabores;
1404;OPCO entreprises de proximite;Convention collective nationale des entreprises de commerce, de location et de reparation de tracteurs, machines et materiels agricoles, de materiels de travaux publics, de betiment et de manutention, de materiels de motoculture de plaisance, de jardins et d'espaces verts (SEDIMA);
1405;OCAPIAT;Convention collective nationale des entreprises d'expedition et d'exportation de fruits et legumes;
1408;OPCO entreprises de proximite;Convention collective nationale des entreprises du negoce et de distribution de combustibles solides, liquides, gazeux et produits petroliers;
1411;OPCO 2i;Convention collective nationale de la fabrication de l'ameublement;
1412;OPCO entreprises de proximite;Convention collective nationale des entreprises d'installation sans fabrication, y compris entretien, reparation, depannage de materiel aeraulique, thermique, frigorifique et connexes;
1413;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Accord national professionnel relatif aux salaries permanents des entreprises de travail temporaire;
1420;OPCO Cohesion sociale;Convention collective nationale du travail du personnel des organismes crees pour l'application de la convention du 31 decembre 1958 UNEDIC ASSEDIC;Arrete du 9 mai 2019 (JO du 1er juin 2019)
1423;OPCO 2i;Convention collective nationale des entreprises relevant de la navigation de plaisance;
1424;OPCO Mobilite;Convention collective nationale des reseaux de transports publics urbains de voyageurs;
1431;OPCO Commerce;Convention collective nationale de l'optique-lunetterie de detail;
1468;OPCO ATLAS;Convention collective de branche du Credit mutuel;
1480;AFDAS;Convention collective nationale de travail des journalistes;
1483;OPCO entreprises de proximite;Convention collective nationale du commerce de detail de l'habillement et des articles textiles;
1486;OPCO ATLAS;Convention collective nationale applicable au personnel des bureaux d'etudes techniques, des cabinets d'ingenieurs-conseils et des societes de conseils (BET, SYNTEC);
1487;OPCO Commerce;Convention collective nationale du commerce de detail de l'horlogerie-bijouterie;
1492;OPCO 2i;Convention collective nationale des ouvriers, employes, dessinateurs, techniciens et agents de maetrise de la production des papiers, cartons et celluloses;
1495;OPCO 2i;Convention collective nationale pour les ouvriers, employes, dessinateurs, techniciens et agents de maetrise de la transformation des papiers, cartons et celluloses;
1499;OPCO entreprises de proximite;Convention collective nationale de la miroiterie, de la transformation et du negoce du verre;
1501;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale de la restauration rapide (restauration livree);
1504;OPCO entreprises de proximite;Convention collective nationale de la poissonnerie (commerce de detail, de demi-gros et de gros de la poissonnerie);
1505;OPCO Commerce;Convention collective nationale du commerce de detail de fruits et legumes, epicerie et produits laitiers;
1512;OPCO entreprises de proximite;Convention collective nationale de la promotion immobiliere;
1513;OCAPIAT;Convention collective nationale des activites de production des eaux embouteillees, des boissons rafraechissantes sans alcool et de biere;
1516;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des organismes de formation;
1517;OPCO Commerce;Convention collective nationale des commerces de detail non alimentaires : antiquites, brocante, galeries d'art, arts de la table, coutellerie, droguerie, equipement du foyer, bazars, commerces menagers, modelisme, jeux, jouets, perinatalite et maroquinerie (euvres d'art);
1518;OPCO Cohesion sociale;Convention collective nationale de l'animation;
1527;OPCO entreprises de proximite;Convention collective nationale de l'immobilier;
1534;OCAPIAT;Convention collective nationale des entreprises de l'industrie et des commerces en gros des viandes;
1536;OPCO Mobilite;Convention collective nationale des distributeurs conseils hors domicile (entrepositaires-grossistes, bieres, eaux minerales et de table, boissons gazeuses, non gazeuses, sirops, jus de fruits, CHD);
1539;OPCO Commerce;Convention collective nationale des commerces de detail de papeterie, fournitures de bureau, de bureautique et informatique [et de librairie];
1555;OPCO 2i;Convention collective nationale de la fabrication et du commerce des produits e usage pharmaceutique, parapharmaceutique et veterinaire;
1557;OPCO Commerce;Convention collective nationale du commerce des articles de sports et d'equipements de loisirs;
1558;OPCO 2i;Convention collective nationale relative aux conditions de travail du personnel des industries ceramiques de France;
1563;AFDAS;Convention collective des cadres de la presse hebdomadaire regionale d'information;
1580;OPCO 2i;Convention collective nationale de l'industrie de la chaussure et des articles chaussants;
1586;OCAPIAT;Convention collective nationale de l'industrie de la salaison, charcuterie en gros et conserves de viandes;
1588;OPCO Cohesion sociale;Convention collective du personnel des societes cooperatives d'HLM;
1589;OPCO entreprises de proximite;Convention collective nationale des mareyeurs-expediteurs;
1596;OPCO Construction;Convention collective nationale concernant les ouvriers employes par les entreprises du betiment visees par le decret du 1er mars 1962;
1597;OPCO Construction;Convention collective nationale concernant les ouvriers employes par les entreprises du betiment non visees par le decret 1er mars 1962;
1605;OPCO entreprises de proximite;Convention collective nationale des entreprises de desinfection, desinsectisation, deratisation;
1606;OPCO Commerce;Convention collective nationale du bricolage, vente au detail en libre-service;
1607;OPCO 2i;Convention collective nationale des industries des jeux, jouets, articles de fetes et ornements de Noel, articles de puericulture et voitures d'enfants modelisme et industries connexes;
1611;OPCO entreprises de proximite;Convention collective nationale des entreprises de logistique de communication ecrite directe;
1618;AFDAS;Convention collective du camping ;Arrete du 9 mai 2019 (JO du 1er juin 2019)
1619;OPCO entreprises de proximite;Convention collective nationale des cabinets dentaires;
1621;OPCO entreprises de proximite;Convention collective nationale de la repartition pharmaceutique;
1631;AFDAS;Convention collective nationale de l'hetellerie de plein air;
1659;OCAPIAT;Convention collective nationale du rouissage teillage du lin;
1671;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des maisons d'etudiants;
1672;OPCO ATLAS;Convention collective nationale des societes d'assurances;
1679;OPCO ATLAS;Convention collective nationale de l'inspection d'assurance;
